name,streamlined
"MINISTRSTVO ZA GOSPODARSTVO, TURIZEM IN ŠPORT","Ministrstvo za gospodarstvo, turizem in šport"
"MINISTRSTVO ZA DIGITALNO PREOBRAZBO",Ministrstvo za digitalno preobrazbo
"MINISTRSTVO ZA ZUNANJE IN EVROPSKE ZADEVE",Ministrstvo za zunanje in evropske zadeve
"MINISTRSTVO ZA KOHEZIJO IN REGIONALNI RAZVOJ",Ministrstvo za kohezijo in regionalni razvoj
"MINISTRSTVO ZA VZGOJO IN IZOBRAŽEVANJE",Ministrstvo za vzgojo in izobraževanje
"MINISTRSTVO ZA KULTURO",Ministrstvo za kulturo
"MINISTRSTVO ZA GOSPODARSTVO, TURIZEM IN ŠPORT - INŠPEKTORAT REPUBLIKE SLOVENIJE ZA ŠPORT","Ministrstvo za gospodarstvo, turizem in šport"
"MINISTRSTVO ZA PRAVOSODJE",Ministrstvo za pravosodje
"MINISTRSTVO ZA OKOLJE, PODNEBJE IN ENERGIJO","Ministrstvo za okolje, podnebje in energijo "
"MINISTRSTVO ZA FINANCE",Ministrstvo za finance
"REPUBLIKA SLOVENIJA, MINISTRSTVO ZA DELO, DRUŽINO, SOCIALNE ZADEVE IN ENAKE MOŽNOSTI","Ministrstvo za delo, družino, socialne zadeve in enake možnosti"
"MINISTRSTVO ZA SOLIDARNO PRIHODNOST",Ministrstvo za solidarno prihodnost
"KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE",Kabinet predsednika vlade
"MINISTRSTVO ZA JAVNO UPRAVO",Ministrstvo za javno upravo
"MINISTRSTVO ZA ZDRAVJE",Ministrstvo za zdravje
"JAVNA AGENCIJA REPUBLIKE SLOVENIJE ZA ZDRAVILA IN MEDICINSKE PRIPOMOČKE",Agencija
"MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO",Ministrstvo za kmetijstvo, gozdarstvo in prehrano
"AGENCIJA ZA KOMUNIKACIJSKA OMREŽJA IN STORITVE REPUBLIKE SLOVENIJE",Agencija
"MINISTRSTVO ZA GOSPODARSKI RAZVOJ IN TEHNOLOGIJO","Ministrstvo za gospodarstvo, turizem in šport"
"MINISTRSTVO ZA NARAVNE VIRE IN PROSTOR",Ministrstvo za naravne vire in prostor
"MINISTRSTVO ZA OKOLJE IN PROSTOR DIREKCIJA REPUBLIKE SLOVENIJE ZA VODE",Ministrstvo za naravne vire in prostor
"MINISTRSTVO ZA OBRAMBO",Ministrstvo za obrambo
"SLUŽBA VLADE REPUBLIKE SLOVENIJE ZA DIGITALNO PREOBRAZBO",Služba Vlade
"Javna agencija Republike Slovenije za spodbujanje podjetništva, internacionalizacije, tujih investicij in tehnologije",Agencija
"OBČINA ŠEMPETER - VRTOJBA",Občina 
"MINISTRSTVO ZA INFRASTRUKTURO",Ministrstvo za infrastrukturo
"Gospodarska zbornica Slovenije",Druge javne službe
"GENERALNI SEKRETARIAT VLADE REPUBLIKE SLOVENIJE",Generalni sekretariat Vlade Republike Slovenije
"MINISTRSTVO ZA ZDRAVJE URAD REPUBLIKE SLOVENIJE ZA KEMIKALIJE",Ministrstvo za zdravje
"Geološki zavod Slovenije",Druge javne službe
"MINISTRSTVO ZA OKOLJE IN PROSTOR",Ministrstvo za naravne vire in prostor
"OBČINA ZREČE",Občina 
"MINISTRSTVO ZA OKOLJE IN PROSTOR, INŠPEKTORAT REPUBLIKE SLOVENIJE ZA OKOLJE IN PROSTOR",Ministrstvo za naravne vire in prostor
"MINISTRSTVO ZA FINANCE FINANČNA UPRAVA REPUBLIKE SLOVENIJE",Ministrstvo za finance
"DRUŽBA ZA AVTOCESTE V REPUBLIKI SLOVENIJI D.D.",Druge javne službe
"URAD VLADE REPUBLIKE SLOVENIJE ZA INFORMACIJSKO VARNOST",Urad Vlade Republike Slovenije za Slovence v zamejstvu in po svetu
"MINISTRSTVO ZA IZOBRAŽEVANJE, ZNANOST IN ŠPORT",Ministrstvo za vzgojo in izobraževanje
"MINISTRSTVO ZA GOSPODARSKI RAZVOJ IN TEHNOLOGIJO - URAD REPUBLIKE SLOVENIJE ZA INTELEKTUALNO LASTNINO","Ministrstvo za gospodarstvo, turizem in šport"
"MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO, UPRAVA REPUBLIKE SLOVENIJE ZA VARNO HRANO, VETERINARSTVO IN VARSTVO RASTLIN",Ministrstvo za kmetijstvo, gozdarstvo in prehrano
"URAD VLADE REPUBLIKE SLOVENIJE ZA KOMUNICIRANJE",Urad Vlade Republike Slovenije za Slovence v zamejstvu in po svetu
"BANKA SLOVENIJE",Druge javne službe
"URAD REPUBLIKE SLOVENIJE ZA NADZOR, KAKOVOST IN INVESTICIJE V ZDRAVSTVU",Urad Vlade Republike Slovenije za Slovence v zamejstvu in po svetu
"Slovenski filmski center, javna agencija Republike Slovenije",Agencija
"MESTNA OBČINA VELENJE",Občina 
"MINISTRSTVO ZA NOTRANJE ZADEVE",Ministrstvo za notranje zadeve
"MINISTRSTVO ZA DELO, DRUŽINO, SOCIALNE ZADEVE IN ENAKE MOŽNOSTI INŠPEKTORAT REPUBLIKE SLOVENIJE ZA DELO","Ministrstvo za delo, družino, socialne zadeve in enake možnosti"
"MESTNA OBČINA MURSKA SOBOTA",Občina 
"Slovenski državni holding, d.d.",Druge javne službe
"Eko sklad, Slovenski okoljski javni sklad",Druge javne službe
"Zavod za gozdove Slovenije",Druge javne službe
"Javna agencija za civilno letalstvo Republike Slovenije",Agencija
"DRI upravljanje investicij, Družba za razvoj infrastrukture, d.o.o.",Druge javne službe
"MESTNA OBČINA MARIBOR",Občina 
"UNIVERZITETNI KLINIČNI CENTER LJUBLJANA",Druge javne službe
"MINISTRSTVO ZA INFRASTRUKTURO, DIREKCIJA REPUBLIKE SLOVENIJE ZA INFRASTRUKTURO",Ministrstvo za infrastrukturo
"AGENCIJA ZA ZAVAROVALNI NADZOR",Agencija
"MESTNA OBČINA KRANJ",Občina 
"CENTER ZA MEDNARODNO SODELOVANJE IN RAZVOJ oz. v angleškem jeziku Centre fot International Cooperation and Development",Druge javne službe
"SLUŽBA VLADE REPUBLIKE SLOVENIJE ZA RAZVOJ IN EVROPSKO KOHEZIJSKO POLITIKO",Služba Vlade
"OBČINA ŠENTJUR",Občina 
"MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO, INŠPEKTORAT REPUBLIKE SLOVENIJE ZA KMETIJSTVO, GOZDARSTVO, LOVSTVO IN RIBIŠTVO",Ministrstvo za kmetijstvo, gozdarstvo in prehrano
"KONTROLA ZRAČNEGA PROMETA SLOVENIJE, d.o.o.",Druge javne službe
"AGENCIJA ZA TRG VREDNOSTNIH PAPIRJEV",Agencija
"UPRAVA REPUBLIKE SLOVENIJE ZA INFORMACIJSKO VARNOST",Druge javne službe
"OBČINA DOMŽALE",Občina 
"KRAJEVNA SKUPNOST RAKA",Druge javne službe
"MINISTRSTVO ZA OBRAMBO, GENERALŠTAB SLOVENSKE VOJSKE",Ministrstvo za obrambo
"ZAVOD ZA ZDRAVSTVENO ZAVAROVANJE SLOVENIJE",Druge javne službe
"Ministrstvo za finance - Izplačila nematerializiranih vrednostnih papirjev",Ministrstvo za finance
"MINISTRSTVO ZA FINANCE UPRAVA REPUBLIKE SLOVENIJE ZA JAVNA PLAČILA",Ministrstvo za finance
"Javni gospodarski zavod Protokolarne storitve Republike Slovenije",Druge javne službe
"MINISTRSTVO ZA GOSPODARSKI RAZVOJ IN TEHNOLOGIJO - URAD REPUBLIKE SLOVENIJE ZA MEROSLOVJE","Ministrstvo za gospodarstvo, turizem in šport"
"SLUŽBA VLADE REPUBLIKE SLOVENIJE ZA ZAKONODAJO",Služba Vlade
"OBČINA SVETA ANA",Občina 
"MINISTRSTVO ZA OBRAMBO, UPRAVA REPUBLIKE SLOVENIJE ZA ZAŠČITO IN REŠEVANJE",Ministrstvo za obrambo
"MESTNA OBČINA KOPER",Občina 
"OBČINA KOČEVJE",Občina 
"Javna agencija Republike Slovenije za trženje in promocijo turizma",Agencija
"Javni zavod za turizem in kulturo Kočevje",Druge javne službe
"JAVNI SKLAD REPUBLIKE SLOVENIJE ZA REGIONALNI RAZVOJ IN RAZVOJ PODEŽELJA",Druge javne službe
"KOMISIJA ZA PREPREČEVANJE KORUPCIJE",Druge javne službe
"MINISTRSTVO ZA PRAVOSODJE UPRAVA REPUBLIKE SLOVENIJE ZA PROBACIJO",Ministrstvo za pravosodje
"SKLAD KMETIJSKIH ZEMLJIŠČ IN GOZDOV REPUBLIKE SLOVENIJE",Druge javne službe
"OBČINA JESENICE",Občina 
"MINISTRSTVO ZA FINANCE URAD REPUBLIKE SLOVENIJE ZA NADZOR PRORAČUNA",Ministrstvo za finance
"UPRAVA RS ZA POMORSTVO",Druge javne službe
"MINISTRSTVO ZA INFRASTRUKTURO, UPRAVA REPUBLIKE SLOVENIJE ZA POMORSTVO",Ministrstvo za infrastrukturo
"OBČINA HOČE - SLIVNICA",Občina 
"MINISTRSTVO ZA OKOLJE IN PROSTOR, AGENCIJA REPUBLIKE SLOVENIJE ZA OKOLJE",Ministrstvo za naravne vire in prostor
"MINISTRSTVO ZA GOSPODARSKI RAZVOJ IN TEHNOLOGIJO - TRŽNI INŠPEKTORAT REPUBLIKE SLOVENIJE","Ministrstvo za gospodarstvo, turizem in šport"
"OBČINA DESTRNIK",Občina 
"2TDK, Družba za razvoj projekta, d.o.o.",Druge javne službe
"OBČINA IZOLA",Občina 
"URAD PREDSEDNIKA REPUBLIKE SLOVENIJE",Urad Vlade Republike Slovenije za Slovence v zamejstvu in po svetu
"ZAVOD ENERGETSKA AGENCIJA ZA SAVINJSKO, ŠALEŠKO IN KOROŠKO, VELENJE",Agencija
"MINISTRSTVO ZA OKOLJE IN PROSTOR, GEODETSKA UPRAVA REPUBLIKE SLOVENIJE",Ministrstvo za naravne vire in prostor
"MINISTRSTVO ZA OKOLJE IN PROSTOR, UPRAVA REPUBLIKE SLOVENIJE ZA JEDRSKO VARNOST",Ministrstvo za naravne vire in prostor
