id,function,party,institution,date,contact_type,org_name,lobbyist_type,purpose,purpose_details
DGADH9JV33RUH,Javni uslužbenec,,Ministrstvo za infrastrukturo,2019-05-30,Osebno,"2TDK, d.o.o.",Zaposlen v organizaciji,Vpliv na odločanje v drugih zadevah,Predstavitev napredka na projektu 2. tir Divača-Koper.
DGADH9JV33RUH,Funkcionar,,Ministrstvo za infrastrukturo,2019-05-30,Osebno,"2TDK, d.o.o.",Zaposlen v organizaciji,Vpliv na odločanje v drugih zadevah,Predstavitev napredka na projektu 2. tir Divača-Koper.
1XEMQ937V2H3H,Javni uslužbenec,,Ministrstvo za infrastrukturo,2019-05-31,Osebno,"2TDK, d.o.o.",Zaposlen v organizaciji,Vpliv na odločanje v drugih zadevah,Predstavitev projekta 2.tir Divača-Koper.
1XEMQ937V2H3H,Funkcionar,,Ministrstvo za infrastrukturo,2019-05-31,Osebno,"2TDK, d.o.o.",Zaposlen v organizaciji,Vpliv na odločanje v drugih zadevah,Predstavitev projekta 2.tir Divača-Koper.
IFK378SEN243H,Javni uslužbenec,,Ministrstvo za okolje in prostor,2019-01-08,Osebno,"3 VOX, d.o.o.",Zakoniti zastopnik organizacije,Vpliv na odločanje v drugih zadevah,Predstavitev projekta/filma Teslafy in morebitnega sofinanciranja s strani MOP.
IFK378SEN243H,Funkcionar,,Ministrstvo za okolje in prostor,2019-01-08,Osebno,"3 VOX, d.o.o.",Zakoniti zastopnik organizacije,Vpliv na odločanje v drugih zadevah,Predstavitev projekta/filma Teslafy in morebitnega sofinanciranja s strani MOP.
TNKNJ9BH92D5H,Funkcionar,,Ministrstvo za finance,2019-11-04,Osebno,A.T. Kearney d.o.o.,Zaposlen v organizaciji,Vpliv na odločanje v drugih zadevah,Namen sestanka je bila predstavitev možnosti implementacije 5G omrežja v slovenski prostor.
TNKNJ9BH92D5H,Funkcionar,,Ministrstvo za finance,2019-11-04,Osebno,A.T. Kearney d.o.o.,Zaposlen v organizaciji,Vpliv na odločanje v drugih zadevah,Namen sestanka je bila predstavitev možnosti implementacije 5G omrežja v slovenski prostor.
S4S9883EZBN6H,Funkcionar,,Kabinet predsednika Vlade Republike Slovenije,2018-11-30,Osebno,"A1 Slovenija, d. d.",Zakoniti zastopnik organizacije,Vpliv na sprejem predpisov in drugih splošnih aktov,Predstavnik A1 Slovenije je predstavil pogled skupine A1 na evropsko zakonodajo na področju telekomunikacije in elektronskih komunikacij.
S4S9883EZBN6H,Funkcionar,,Kabinet predsednika Vlade Republike Slovenije,2018-11-30,Osebno,"A1 Slovenija, d. d.",Zakoniti zastopnik organizacije,Vpliv na sprejem predpisov in drugih splošnih aktov,Predstavnik A1 Slovenije je predstavil pogled skupine A1 na evropsko zakonodajo na področju telekomunikacije in elektronskih komunikacij.
