id,function,party,institution,date,contact_type,org_name,lobbyist_type,purpose,purpose_details
NAKTF934VAV5H,Javni uslužbenec,,MINISTRSTVO ZA KULTURO,2017-01-25,OSEBNO,ZDRUŽENJE TURISTIČNIH VODNIKOV SLOVENIJE,Registrirani lobist,Vpliv na sprejem predpisov in drugih splošnih aktov,"Sestanek je bil namenjen predstavitvi stališča Združenja turističnih vodnikov Slovenije, da turistični vodnik ostane reguliran poklic znotraj novega ZSRT-1. Na sestanku smo se seznanili z mnenji članov nevladne organizacije glede statusa turističnih vodnikov in njihove vloge v novem zakonu in sicer predvsem s poudarkom na tem, kako pomemben je dobro izobražen  turistični vodnik, ki predstavlja našo državo tujcem. 
 
 Predstavniki Ministrstva za kulturo smo na sestanku pojasnili, da ministrstvo absolutno zagovarja ohranitev reguliranega poklica turistični vodnik, saj je dobro izobražen turistični vodnik tisti, ki med prvimi  predstavlja tudi  interese slovenske kulture, zlasti slovenskega jezika, in promovira našo kulturno dediščino in ustvarjalnost, tako da smo na vsa ta dejstva že pred sestankom opozorili tudi pripravljavce zakona. Stališče predstavnikov Združenja turističnih vodnikov Slovenije ni vplivalo na mnenje Ministrstva za kulturo, ampak je naše  že izoblikovano stališče samo še potrdilo. Vse našteto je  razvidno tudi iz končne različice sprejetega Zakona o spodbujanju razvoja turizma (ZSRT-1)."
NAKTF934VAV5H,Funkcionar,,MINISTRSTVO ZA KULTURO,2017-01-25,OSEBNO,ZDRUŽENJE TURISTIČNIH VODNIKOV SLOVENIJE,Registrirani lobist,Vpliv na sprejem predpisov in drugih splošnih aktov,"Sestanek je bil namenjen predstavitvi stališča Združenja turističnih vodnikov Slovenije, da turistični vodnik ostane reguliran poklic znotraj novega ZSRT-1. Na sestanku smo se seznanili z mnenji članov nevladne organizacije glede statusa turističnih vodnikov in njihove vloge v novem zakonu in sicer predvsem s poudarkom na tem, kako pomemben je dobro izobražen  turistični vodnik, ki predstavlja našo državo tujcem. 
 
 Predstavniki Ministrstva za kulturo smo na sestanku pojasnili, da ministrstvo absolutno zagovarja ohranitev reguliranega poklica turistični vodnik, saj je dobro izobražen turistični vodnik tisti, ki med prvimi  predstavlja tudi  interese slovenske kulture, zlasti slovenskega jezika, in promovira našo kulturno dediščino in ustvarjalnost, tako da smo na vsa ta dejstva že pred sestankom opozorili tudi pripravljavce zakona. Stališče predstavnikov Združenja turističnih vodnikov Slovenije ni vplivalo na mnenje Ministrstva za kulturo, ampak je naše  že izoblikovano stališče samo še potrdilo. Vse našteto je  razvidno tudi iz končne različice sprejetega Zakona o spodbujanju razvoja turizma (ZSRT-1)."
NAKTF934VAV5H,Funkcionar,,MINISTRSTVO ZA KULTURO,2017-01-25,OSEBNO,ZDRUŽENJE TURISTIČNIH VODNIKOV SLOVENIJE,Registrirani lobist,Vpliv na sprejem predpisov in drugih splošnih aktov,"Sestanek je bil namenjen predstavitvi stališča Združenja turističnih vodnikov Slovenije, da turistični vodnik ostane reguliran poklic znotraj novega ZSRT-1. Na sestanku smo se seznanili z mnenji članov nevladne organizacije glede statusa turističnih vodnikov in njihove vloge v novem zakonu in sicer predvsem s poudarkom na tem, kako pomemben je dobro izobražen  turistični vodnik, ki predstavlja našo državo tujcem. 
 
 Predstavniki Ministrstva za kulturo smo na sestanku pojasnili, da ministrstvo absolutno zagovarja ohranitev reguliranega poklica turistični vodnik, saj je dobro izobražen turistični vodnik tisti, ki med prvimi  predstavlja tudi  interese slovenske kulture, zlasti slovenskega jezika, in promovira našo kulturno dediščino in ustvarjalnost, tako da smo na vsa ta dejstva že pred sestankom opozorili tudi pripravljavce zakona. Stališče predstavnikov Združenja turističnih vodnikov Slovenije ni vplivalo na mnenje Ministrstva za kulturo, ampak je naše  že izoblikovano stališče samo še potrdilo. Vse našteto je  razvidno tudi iz končne različice sprejetega Zakona o spodbujanju razvoja turizma (ZSRT-1)."
NAKTF934VAV5H,Javni uslužbenec,,MINISTRSTVO ZA KULTURO,2017-01-25,OSEBNO,ZDRUŽENJE TURISTIČNIH VODNIKOV SLOVENIJE,Registrirani lobist,Vpliv na sprejem predpisov in drugih splošnih aktov,"Sestanek je bil namenjen predstavitvi stališča Združenja turističnih vodnikov Slovenije, da turistični vodnik ostane reguliran poklic znotraj novega ZSRT-1. Na sestanku smo se seznanili z mnenji članov nevladne organizacije glede statusa turističnih vodnikov in njihove vloge v novem zakonu in sicer predvsem s poudarkom na tem, kako pomemben je dobro izobražen  turistični vodnik, ki predstavlja našo državo tujcem. 
 
 Predstavniki Ministrstva za kulturo smo na sestanku pojasnili, da ministrstvo absolutno zagovarja ohranitev reguliranega poklica turistični vodnik, saj je dobro izobražen turistični vodnik tisti, ki med prvimi  predstavlja tudi  interese slovenske kulture, zlasti slovenskega jezika, in promovira našo kulturno dediščino in ustvarjalnost, tako da smo na vsa ta dejstva že pred sestankom opozorili tudi pripravljavce zakona. Stališče predstavnikov Združenja turističnih vodnikov Slovenije ni vplivalo na mnenje Ministrstva za kulturo, ampak je naše  že izoblikovano stališče samo še potrdilo. Vse našteto je  razvidno tudi iz končne različice sprejetega Zakona o spodbujanju razvoja turizma (ZSRT-1)."
NAKTF934VAV5H,Funkcionar,,MINISTRSTVO ZA KULTURO,2017-01-25,OSEBNO,DRUŠTVO REGIONALNIH TURISTIČNIH VODNIKOV SLOVENIJE,Izvoljeni predstavnik,Vpliv na sprejem predpisov in drugih splošnih aktov,"Sestanek je bil namenjen predstavitvi stališča Združenja turističnih vodnikov Slovenije, da turistični vodnik ostane reguliran poklic znotraj novega ZSRT-1. Na sestanku smo se seznanili z mnenji članov nevladne organizacije glede statusa turističnih vodnikov in njihove vloge v novem zakonu in sicer predvsem s poudarkom na tem, kako pomemben je dobro izobražen  turistični vodnik, ki predstavlja našo državo tujcem. 
 
 Predstavniki Ministrstva za kulturo smo na sestanku pojasnili, da ministrstvo absolutno zagovarja ohranitev reguliranega poklica turistični vodnik, saj je dobro izobražen turistični vodnik tisti, ki med prvimi  predstavlja tudi  interese slovenske kulture, zlasti slovenskega jezika, in promovira našo kulturno dediščino in ustvarjalnost, tako da smo na vsa ta dejstva že pred sestankom opozorili tudi pripravljavce zakona. Stališče predstavnikov Združenja turističnih vodnikov Slovenije ni vplivalo na mnenje Ministrstva za kulturo, ampak je naše  že izoblikovano stališče samo še potrdilo. Vse našteto je  razvidno tudi iz končne različice sprejetega Zakona o spodbujanju razvoja turizma (ZSRT-1)."
NAKTF934VAV5H,Funkcionar,,MINISTRSTVO ZA KULTURO,2017-01-25,OSEBNO,DRUŠTVO REGIONALNIH TURISTIČNIH VODNIKOV SLOVENIJE,Izvoljeni predstavnik,Vpliv na sprejem predpisov in drugih splošnih aktov,"Sestanek je bil namenjen predstavitvi stališča Združenja turističnih vodnikov Slovenije, da turistični vodnik ostane reguliran poklic znotraj novega ZSRT-1. Na sestanku smo se seznanili z mnenji članov nevladne organizacije glede statusa turističnih vodnikov in njihove vloge v novem zakonu in sicer predvsem s poudarkom na tem, kako pomemben je dobro izobražen  turistični vodnik, ki predstavlja našo državo tujcem. 
 
 Predstavniki Ministrstva za kulturo smo na sestanku pojasnili, da ministrstvo absolutno zagovarja ohranitev reguliranega poklica turistični vodnik, saj je dobro izobražen turistični vodnik tisti, ki med prvimi  predstavlja tudi  interese slovenske kulture, zlasti slovenskega jezika, in promovira našo kulturno dediščino in ustvarjalnost, tako da smo na vsa ta dejstva že pred sestankom opozorili tudi pripravljavce zakona. Stališče predstavnikov Združenja turističnih vodnikov Slovenije ni vplivalo na mnenje Ministrstva za kulturo, ampak je naše  že izoblikovano stališče samo še potrdilo. Vse našteto je  razvidno tudi iz končne različice sprejetega Zakona o spodbujanju razvoja turizma (ZSRT-1)."
NAKTF934VAV5H,Javni uslužbenec,,MINISTRSTVO ZA KULTURO,2017-01-25,OSEBNO,DRUŠTVO REGIONALNIH TURISTIČNIH VODNIKOV SLOVENIJE,Izvoljeni predstavnik,Vpliv na sprejem predpisov in drugih splošnih aktov,"Sestanek je bil namenjen predstavitvi stališča Združenja turističnih vodnikov Slovenije, da turistični vodnik ostane reguliran poklic znotraj novega ZSRT-1. Na sestanku smo se seznanili z mnenji članov nevladne organizacije glede statusa turističnih vodnikov in njihove vloge v novem zakonu in sicer predvsem s poudarkom na tem, kako pomemben je dobro izobražen  turistični vodnik, ki predstavlja našo državo tujcem. 
 
 Predstavniki Ministrstva za kulturo smo na sestanku pojasnili, da ministrstvo absolutno zagovarja ohranitev reguliranega poklica turistični vodnik, saj je dobro izobražen turistični vodnik tisti, ki med prvimi  predstavlja tudi  interese slovenske kulture, zlasti slovenskega jezika, in promovira našo kulturno dediščino in ustvarjalnost, tako da smo na vsa ta dejstva že pred sestankom opozorili tudi pripravljavce zakona. Stališče predstavnikov Združenja turističnih vodnikov Slovenije ni vplivalo na mnenje Ministrstva za kulturo, ampak je naše  že izoblikovano stališče samo še potrdilo. Vse našteto je  razvidno tudi iz končne različice sprejetega Zakona o spodbujanju razvoja turizma (ZSRT-1)."
NAKTF934VAV5H,Javni uslužbenec,,MINISTRSTVO ZA KULTURO,2017-01-25,OSEBNO,DRUŠTVO REGIONALNIH TURISTIČNIH VODNIKOV SLOVENIJE,Izvoljeni predstavnik,Vpliv na sprejem predpisov in drugih splošnih aktov,"Sestanek je bil namenjen predstavitvi stališča Združenja turističnih vodnikov Slovenije, da turistični vodnik ostane reguliran poklic znotraj novega ZSRT-1. Na sestanku smo se seznanili z mnenji članov nevladne organizacije glede statusa turističnih vodnikov in njihove vloge v novem zakonu in sicer predvsem s poudarkom na tem, kako pomemben je dobro izobražen  turistični vodnik, ki predstavlja našo državo tujcem. 
 
 Predstavniki Ministrstva za kulturo smo na sestanku pojasnili, da ministrstvo absolutno zagovarja ohranitev reguliranega poklica turistični vodnik, saj je dobro izobražen turistični vodnik tisti, ki med prvimi  predstavlja tudi  interese slovenske kulture, zlasti slovenskega jezika, in promovira našo kulturno dediščino in ustvarjalnost, tako da smo na vsa ta dejstva že pred sestankom opozorili tudi pripravljavce zakona. Stališče predstavnikov Združenja turističnih vodnikov Slovenije ni vplivalo na mnenje Ministrstva za kulturo, ampak je naše  že izoblikovano stališče samo še potrdilo. Vse našteto je  razvidno tudi iz končne različice sprejetega Zakona o spodbujanju razvoja turizma (ZSRT-1)."
NAKTF934VAV5H,Javni uslužbenec,,MINISTRSTVO ZA KULTURO,2017-01-25,OSEBNO,ZDRUŽENJE TURISTIČNIH VODNIKOV SLOVENIJE,Izvoljeni predstavnik,Vpliv na sprejem predpisov in drugih splošnih aktov,"Sestanek je bil namenjen predstavitvi stališča Združenja turističnih vodnikov Slovenije, da turistični vodnik ostane reguliran poklic znotraj novega ZSRT-1. Na sestanku smo se seznanili z mnenji članov nevladne organizacije glede statusa turističnih vodnikov in njihove vloge v novem zakonu in sicer predvsem s poudarkom na tem, kako pomemben je dobro izobražen  turistični vodnik, ki predstavlja našo državo tujcem. 
 
 Predstavniki Ministrstva za kulturo smo na sestanku pojasnili, da ministrstvo absolutno zagovarja ohranitev reguliranega poklica turistični vodnik, saj je dobro izobražen turistični vodnik tisti, ki med prvimi  predstavlja tudi  interese slovenske kulture, zlasti slovenskega jezika, in promovira našo kulturno dediščino in ustvarjalnost, tako da smo na vsa ta dejstva že pred sestankom opozorili tudi pripravljavce zakona. Stališče predstavnikov Združenja turističnih vodnikov Slovenije ni vplivalo na mnenje Ministrstva za kulturo, ampak je naše  že izoblikovano stališče samo še potrdilo. Vse našteto je  razvidno tudi iz končne različice sprejetega Zakona o spodbujanju razvoja turizma (ZSRT-1)."
NAKTF934VAV5H,Funkcionar,,MINISTRSTVO ZA KULTURO,2017-01-25,OSEBNO,ZDRUŽENJE TURISTIČNIH VODNIKOV SLOVENIJE,Izvoljeni predstavnik,Vpliv na sprejem predpisov in drugih splošnih aktov,"Sestanek je bil namenjen predstavitvi stališča Združenja turističnih vodnikov Slovenije, da turistični vodnik ostane reguliran poklic znotraj novega ZSRT-1. Na sestanku smo se seznanili z mnenji članov nevladne organizacije glede statusa turističnih vodnikov in njihove vloge v novem zakonu in sicer predvsem s poudarkom na tem, kako pomemben je dobro izobražen  turistični vodnik, ki predstavlja našo državo tujcem. 
 
 Predstavniki Ministrstva za kulturo smo na sestanku pojasnili, da ministrstvo absolutno zagovarja ohranitev reguliranega poklica turistični vodnik, saj je dobro izobražen turistični vodnik tisti, ki med prvimi  predstavlja tudi  interese slovenske kulture, zlasti slovenskega jezika, in promovira našo kulturno dediščino in ustvarjalnost, tako da smo na vsa ta dejstva že pred sestankom opozorili tudi pripravljavce zakona. Stališče predstavnikov Združenja turističnih vodnikov Slovenije ni vplivalo na mnenje Ministrstva za kulturo, ampak je naše  že izoblikovano stališče samo še potrdilo. Vse našteto je  razvidno tudi iz končne različice sprejetega Zakona o spodbujanju razvoja turizma (ZSRT-1)."
