institution,streamlined_13,streamlined_14,streamlined_15,vse,to_remove
MINISTRSTVO ZA SOLIDARNO PRIHODNOST,,,Ministrstvo za solidarno prihodnost,Ministrstvo za solidarno prihodnost,
JAVNA AGENCIJA REPUBLIKE SLOVENIJE ZA ZDRAVILA IN MEDICINSKE PRIPOMOČKE,,,,,YES
MINISTRSTVO ZA DIGITALNO PREOBRAZBO,,,Ministrstvo za digitalno preobrazbo,Ministrstvo za digitalno preobrazbo,
MINISTRSTVO ZA FINANCE,Ministrstvo za finance,Ministrstvo za finance,Ministrstvo za finance,Ministrstvo za finance,
"MINISTRSTVO ZA OKOLJE, PODNEBJE IN ENERGIJO",,,"Ministrstvo za okolje, podnebje in energijo","Ministrstvo za okolje, podnebje in energijo",
JAVNI SKLAD REPUBLIKE SLOVENIJE ZA PODJETNIŠTVO,,,,,YES
"Javna agencija Republike Slovenije za spodbujanje podjetništva, internacionalizacije, tujih investicij in tehnologije",,,,,YES
"MINISTRSTVO ZA GOSPODARSTVO, TURIZEM IN ŠPORT",,,"Ministrstvo za gospodarstvo, turizem in šport","Ministrstvo za gospodarstvo, turizem in šport",
MINISTRSTVO ZA JAVNO UPRAVO,Ministrstvo za javno upravo,Ministrstvo za javno upravo,Ministrstvo za javno upravo,Ministrstvo za javno upravo,
OBČINA TREBNJE,,,,,YES
KABINET PREDSEDNIKA VLADE REPUBLIKE SLOVENIJE,Kabinet predsednika vlade,Kabinet predsednika vlade,Kabinet predsednika vlade,Kabinet predsednika vlade,
"REPUBLIKA SLOVENIJA, MINISTRSTVO ZA DELO, DRUŽINO, SOCIALNE ZADEVE IN ENAKE MOŽNOSTI","Ministrstvo za delo, družino, socialne zadeve in enake možnosti","Ministrstvo za delo, družino, socialne zadeve in enake možnosti","Ministrstvo za delo, družino, socialne zadeve in enake možnosti","Ministrstvo za delo, družino, socialne zadeve in enake možnosti",
OBČINA IVANČNA GORICA,,,,,YES
MINISTRSTVO ZA KOHEZIJO IN REGIONALNI RAZVOJ,,,Ministrstvo za kohezijo in regionalni razvoj,Ministrstvo za kohezijo in regionalni razvoj,
MINISTRSTVO ZA NARAVNE VIRE IN PROSTOR,,,Ministrstvo za naravne vire in prostor,Ministrstvo za naravne vire in prostor,
"MINISTRSTVO ZA OKOLJE IN PROSTOR, GEODETSKA UPRAVA REPUBLIKE SLOVENIJE",Ministrstvo za okolje in prostor,Ministrstvo za okolje in prostor,Ministrstvo za okolje in prostor,Ministrstvo za okolje in prostor,
MINISTRSTVO ZA PRAVOSODJE,Ministrstvo za pravosodje,Ministrstvo za pravosodje,Ministrstvo za pravosodje,Ministrstvo za pravosodje,
AGENCIJA ZA KOMUNIKACIJSKA OMREŽJA IN STORITVE REPUBLIKE SLOVENIJE,,,,,YES
MINISTRSTVO ZA INFRASTRUKTURO,Ministrstvo za infrastrukturo,Ministrstvo za infrastrukturo,Ministrstvo za infrastrukturo,Ministrstvo za infrastrukturo,
MINISTRSTVO ZA ZUNANJE IN EVROPSKE ZADEVE,Ministrstvo za zunanje zadeve,Ministrstvo za zunanje zadeve,Ministrstvo za zunanje in evropske zadeve,Ministrstvo za zunanje in evropske zadeve,
MINISTRSTVO ZA KULTURO,Ministrstvo za kulturo,Ministrstvo za kulturo,Ministrstvo za kulturo,Ministrstvo za kulturo,
MINISTRSTVO ZA GOSPODARSKI RAZVOJ IN TEHNOLOGIJO - URAD REPUBLIKE SLOVENIJE ZA INTELEKTUALNO LASTNINO,Ministrstvo za gospodarski razvoj in tehnologijo,Ministrstvo za gospodarski razvoj in tehnologijo,Ministrstvo za gospodarski razvoj in tehnologijo,Ministrstvo za gospodarski razvoj in tehnologijo,
MINISTRSTVO ZA VZGOJO IN IZOBRAŽEVANJE,,,Ministrstvo za vzgojo in izobraževanje,Ministrstvo za vzgojo in izobraževanje,
"MINISTRSTVO ZA GOSPODARSTVO, TURIZEM IN ŠPORT - INŠPEKTORAT REPUBLIKE SLOVENIJE ZA ŠPORT",,,"Ministrstvo za gospodarstvo, turizem in šport","Ministrstvo za gospodarstvo, turizem in šport",
MINISTRSTVO ZA ZDRAVJE,Ministrstvo za zdravje,Ministrstvo za zdravje,Ministrstvo za zdravje,Ministrstvo za zdravje,
"MINISTRSTVO ZA KMETIJSTVO, GOZDARSTVO IN PREHRANO","Ministrstvo za kmetijstvo, gozdarstvo in prehrano","Ministrstvo za kmetijstvo, gozdarstvo in prehrano","Ministrstvo za kmetijstvo, gozdarstvo in prehrano","Ministrstvo za kmetijstvo, gozdarstvo in prehrano",
MINISTRSTVO ZA GOSPODARSKI RAZVOJ IN TEHNOLOGIJO,Ministrstvo za gospodarski razvoj in tehnologijo,Ministrstvo za gospodarski razvoj in tehnologijo,Ministrstvo za gospodarski razvoj in tehnologijo,Ministrstvo za gospodarski razvoj in tehnologijo,
MINISTRSTVO ZA OKOLJE IN PROSTOR DIREKCIJA REPUBLIKE SLOVENIJE ZA VODE,Ministrstvo za okolje in prostor,Ministrstvo za okolje in prostor,Ministrstvo za okolje in prostor,Ministrstvo za okolje in prostor,
MINISTRSTVO ZA OBRAMBO,Ministrstvo za obrambo,Ministrstvo za obrambo,Ministrstvo za obrambo,Ministrstvo za obrambo,
