id,date,contact_type,institution,function,party,org_name,lobbyist_type,purpose,purpose_details
FDU1D9JPKC27H,2017-12-01,PO E-POŠTI,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,,"Šelih & partnerji, o.p., d.o.o.",Zakoniti zastopnik,Vpliv na sprejem predpisov in drugih splošnih aktov,Protiustavnost predloga Zakona o postopku sodnega varstva imetnikov kvalificiranih obveznosti bank in pripomb v zvezi z njimi.
FDU1D9JPKC27H,2017-12-01,PO E-POŠTI,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,,"Šelih & partnerji, o.p., d.o.o.",Zakoniti zastopnik,Vpliv na sprejem predpisov in drugih splošnih aktov,Protiustavnost predloga Zakona o postopku sodnega varstva imetnikov kvalificiranih obveznosti bank in pripomb v zvezi z njimi.
FDU1D9JPKC27H,2017-12-01,PO E-POŠTI,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,,"Šelih & partnerji, o.p., d.o.o.",Zakoniti zastopnik,Vpliv na sprejem predpisov in drugih splošnih aktov,Protiustavnost predloga Zakona o postopku sodnega varstva imetnikov kvalificiranih obveznosti bank in pripomb v zvezi z njimi.
FDU1D9JPKC27H,2017-12-01,PO E-POŠTI,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,,"Šelih & partnerji, o.p., d.o.o.",Zakoniti zastopnik,Vpliv na sprejem predpisov in drugih splošnih aktov,Protiustavnost predloga Zakona o postopku sodnega varstva imetnikov kvalificiranih obveznosti bank in pripomb v zvezi z njimi.
D9DAX8JLHCG4H,2017-12-21,OSEBNO,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Javni uslužbenec,,ZLUS Ljubljana,Izvoljeni predstavnik,Vpliv na sprejem predpisov in drugih splošnih aktov,Predstavitev tematike Zakona o izobraževanju odraslih. (ZIO)
APRG68J49V56H,2017-12-22,PO E-POŠTI,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Javni uslužbenec,,BDO Revizija d.o.o.,Zaposlen v organizaciji,Vpliv na sprejem predpisov in drugih splošnih aktov,Predlog Zakona o spremembah in dopolnitvah Zakona o revidiranju
APRG68J49V56H,2017-12-22,PO E-POŠTI,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Javni uslužbenec,,DELOITTE REVIZIJA d.o.o.,Zaposlen v organizaciji,Vpliv na sprejem predpisov in drugih splošnih aktov,Predlog Zakona o spremembah in dopolnitvah Zakona o revidiranju
APRG68J49V56H,2017-12-22,PO E-POŠTI,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Javni uslužbenec,,ERNST & YOUNG d.o.o.,Zaposlen v organizaciji,Vpliv na sprejem predpisov in drugih splošnih aktov,Predlog Zakona o spremembah in dopolnitvah Zakona o revidiranju
868PL9JQS8C6H,2017-12-22,PO E-POŠTI,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Javni uslužbenec,,Grant Thornton Audit d.o.o.,Zakoniti zastopnik,Vpliv na sprejem predpisov in drugih splošnih aktov,Predlog novele Zakona o revidiranju
APRG68J49V56H,2017-12-22,PO E-POŠTI,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Javni uslužbenec,,Grant Thornton Audit d.o.o.,Zaposlen v organizaciji,Vpliv na sprejem predpisov in drugih splošnih aktov,Predlog Zakona o spremembah in dopolnitvah Zakona o revidiranju
APRG68J49V56H,2017-12-22,PO E-POŠTI,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Javni uslužbenec,,"KPMG Slovenija, d.o.o.",Zaposlen v organizaciji,Vpliv na sprejem predpisov in drugih splošnih aktov,Predlog Zakona o spremembah in dopolnitvah Zakona o revidiranju
APRG68J49V56H,2017-12-22,PO E-POŠTI,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Javni uslužbenec,,PricewaterhouseCoopers d.o.o.,Zaposlen v organizaciji,Vpliv na sprejem predpisov in drugih splošnih aktov,Predlog Zakona o spremembah in dopolnitvah Zakona o revidiranju
IJ2ZK9BC3KS7H,2017-12-22,PO E-POŠTI,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,,ZDRUŽENJE FRANK,Izvoljeni predstavnik,Vpliv na sprejem predpisov in drugih splošnih aktov,Zakon o razmerjih med dajalci kreditov in kreditojemalci glede kreditov v švicarskih frankih
VRHJN9JQJ2K7H,2017-12-28,PO E-POŠTI,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,,ZDRUŽENJE FRANK,Zakoniti zastopnik,Vpliv na sprejem predpisov in drugih splošnih aktov,Elektronsko sporočilo se je nanašalo na podporo s podpisi poslancev in sprejemu  Zakona o razmerjih med dajalci kreditov in kreditojemalci glede kreditov v švicarskih frankih.
CVR3M93KSEF7H,2017-12-28,PO POŠTI,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,,ZDRUŽENJE FRANK,Zaposlen v organizaciji,Vpliv na sprejem predpisov in drugih splošnih aktov,Zakon o razmerjih med dajalci kreditov in kreditojemalci glede kreditov v švicarskih frankih.
Z71L78SM1IK6H,2018-01-03,PO E-POŠTI,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Javni uslužbenec,,DELOITTE REVIZIJA d.o.o.,Zaposlen v organizaciji,Vpliv na sprejem predpisov in drugih splošnih aktov,Pripombe na Predlog zakona o spremembah in dopolnitvah zakona o revidiranju
1D9GM9BS4PT6H,2018-01-03,PO E-POŠTI,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Javni uslužbenec,,SLOVENSKI INŠTITUT ZA REVIZIJO,Zakoniti zastopnik,Vpliv na sprejem predpisov in drugih splošnih aktov,Glede predloga zakona o revidiranju.
BEFRH8B8J985H,2018-01-08,DRUGO,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,,INŽENIRSKA ZBORNICA SLOVENIJE,Izvoljeni predstavnik,Vpliv na sprejem predpisov in drugih splošnih aktov,Zakon o spremembah in dopolnitvah zakona o evidentiranju nepremičnin
BEFRH8B8J985H,2018-01-08,DRUGO,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,,INŽENIRSKA ZBORNICA SLOVENIJE,Izvoljeni predstavnik,Vpliv na sprejem predpisov in drugih splošnih aktov,Zakon o spremembah in dopolnitvah zakona o evidentiranju nepremičnin
BEFRH8B8J985H,2018-01-08,DRUGO,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Javni uslužbenec,,INŽENIRSKA ZBORNICA SLOVENIJE,Izvoljeni predstavnik,Vpliv na sprejem predpisov in drugih splošnih aktov,Zakon o spremembah in dopolnitvah zakona o evidentiranju nepremičnin
BEFRH8B8J985H,2018-01-08,DRUGO,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Javni uslužbenec,,INŽENIRSKA ZBORNICA SLOVENIJE,Zaposlen v organizaciji,Vpliv na sprejem predpisov in drugih splošnih aktov,dopis s predlogom amandamaja
BEFRH8B8J985H,2018-01-08,DRUGO,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,,INŽENIRSKA ZBORNICA SLOVENIJE,Zaposlen v organizaciji,Vpliv na sprejem predpisov in drugih splošnih aktov,dopis s predlogom amandamaja
BEFRH8B8J985H,2018-01-08,DRUGO,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,,INŽENIRSKA ZBORNICA SLOVENIJE,Zaposlen v organizaciji,Vpliv na sprejem predpisov in drugih splošnih aktov,dopis s predlogom amandamaja
MKKCJ8JLUNN6H,2018-01-08,PO TELEFONU,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Javni uslužbenec,,SLOVENSKI INŠTITUT ZA REVIZIJO,Zakoniti zastopnik,Vpliv na sprejem predpisov in drugih splošnih aktov,glede predloga zakona o revidiranju.
KJZDN9BUEAI4H,2018-01-09,DRUGO,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,,ARBIT - javno združenje za arbitražo,Zaposlen v organizaciji,Vpliv na sprejem predpisov in drugih splošnih aktov,Zakon o preprečevanju kaznjivih dejanj mejhnega pomena
3S5J253K8VL6H,2018-01-10,PO E-POŠTI,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Javni uslužbenec,,DRUŠTVO ISKRA,Izvoljeni predstavnik,Vpliv na sprejem predpisov in drugih splošnih aktov,Predlog zakona o spremembah in dopolnitvah zakona o skupnosti študentov
3S5J253K8VL6H,2018-01-10,PO E-POŠTI,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Javni uslužbenec,,ŠOS,Zaposlen v organizaciji,Vpliv na sprejem predpisov in drugih splošnih aktov,Predlog zakona o spremembah in dopolnitvah zakona o skupnosti študentov
9VLFJ9BBQHX6H,2018-01-10,OSEBNO,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Javni uslužbenec,,ZDRUŽENJE SUTŽO,Zaposlen v organizaciji,Vpliv na sprejem predpisov in drugih splošnih aktov,Zakon o izobraževanju odraslih
9VLFJ9BBQHX6H,2018-01-10,OSEBNO,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,,ZDRUŽENJE SUTŽO,Zaposlen v organizaciji,Vpliv na sprejem predpisov in drugih splošnih aktov,Zakon o izobraževanju odraslih
9VLFJ9BBQHX6H,2018-01-10,OSEBNO,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,,ZDRUŽENJE SUTŽO,Zaposlen v organizaciji,Vpliv na sprejem predpisov in drugih splošnih aktov,Zakon o izobraževanju odraslih
9VLFJ9BBQHX6H,2018-01-10,OSEBNO,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Javni uslužbenec,,ZDRUŽENJE SUTŽO,Zaposlen v organizaciji,Vpliv na sprejem predpisov in drugih splošnih aktov,Zakon o izobraževanju odraslih
9VLFJ9BBQHX6H,2018-01-10,OSEBNO,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,,ZDRUŽENJE SUTŽO,Zaposlen v organizaciji,Vpliv na sprejem predpisov in drugih splošnih aktov,Zakon o izobraževanju odraslih
9VLFJ9BBQHX6H,2018-01-10,OSEBNO,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,,ZDRUŽENJE SUTŽO,Zaposlen v organizaciji,Vpliv na sprejem predpisov in drugih splošnih aktov,Zakon o izobraževanju odraslih
XB7VL9SAUG56H,2018-01-11,OSEBNO,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Javni uslužbenec,,DRUŠTVO DELAVSKA SVETOVALNICA,Zakoniti zastopnik,Vpliv na sprejem predpisov in drugih splošnih aktov,Predlog zakona o spremembah in dopolnitvah Zakona o javnem naročanju (RPA 2487-VII)
