id,date,contact_type,institution,function,party,org_name,lobbyist_type,purpose,purpose_details
XMIC16SAH3K2H,2017-12-27,Drugo,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,Združena levica,BDO Revizija d.o.o.,Zaposlen v organizaciji,Vpliv na sprejem predpisov in drugih splošnih aktov,pripombe na predlog Zakona o spremembah in dopolnitvah Zakona o revidentiranju (EVA: 2016-1611-0002)
XMIC16SAH3K2H,2017-12-27,Drugo,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,Združena levica,DELOITTE REVIZIJA d.o.o.,Zaposlen v organizaciji,Vpliv na sprejem predpisov in drugih splošnih aktov,pripombe na predlog Zakona o spremembah in dopolnitvah Zakona o revidentiranju (EVA: 2016-1611-0002)
XMIC16SAH3K2H,2017-12-27,Drugo,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,Združena levica,ERNST & YOUNG d.o.o.,Zaposlen v organizaciji,Vpliv na sprejem predpisov in drugih splošnih aktov,pripombe na predlog Zakona o spremembah in dopolnitvah Zakona o revidentiranju (EVA: 2016-1611-0002)
XMIC16SAH3K2H,2017-12-27,Drugo,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,Združena levica,Grant Thornton Audit d.o.o.,Zaposlen v organizaciji,Vpliv na sprejem predpisov in drugih splošnih aktov,pripombe na predlog Zakona o spremembah in dopolnitvah Zakona o revidentiranju (EVA: 2016-1611-0002)
XMIC16SAH3K2H,2017-12-27,Drugo,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,Združena levica,"KPMG Slovenija, d.o.o.",Zaposlen v organizaciji,Vpliv na sprejem predpisov in drugih splošnih aktov,pripombe na predlog Zakona o spremembah in dopolnitvah Zakona o revidentiranju (EVA: 2016-1611-0002)
XMIC16SAH3K2H,2017-12-27,Drugo,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,Združena levica,PricewaterhouseCoopers d.o.o.,Zaposlen v organizaciji,Vpliv na sprejem predpisov in drugih splošnih aktov,pripombe na predlog Zakona o spremembah in dopolnitvah Zakona o revidentiranju (EVA: 2016-1611-0002)
Z3JLL83EIFR1H,2020-02-17,Osebno,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,SNS,"HESS, d.o.o.",Zakoniti zastopnik,Vpliv na sprejem predpisov in drugih splošnih aktov,Zakon o pogojih koncesije za izkoriščanje energetskega potenciala Spodnje Save.
Z3JLL83EIFR1H,2020-02-17,Osebno,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,SNS,INFRA d.o.o.,Zakoniti zastopnik,Vpliv na sprejem predpisov in drugih splošnih aktov,Zakon o pogojih koncesije za izkoriščanje energetskega potenciala Spodnje Save.
78RM28B5M757H,2020-05-05,Osebno,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,SNS,MC PUBLIC AFFAIRS,Zakoniti zastopnik,Vpliv na sprejem predpisov in drugih splošnih aktov,Predlog Zakona o dopolnitvi Zakona o zdravstveni dejavnosti (ZZDej)
78RM28B5M757H,2020-05-05,Osebno,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,SNS,MC PUBLIC AFFAIRS,Zaposlen v organizaciji,Vpliv na sprejem predpisov in drugih splošnih aktov,Predlog Zakona o dopolnitvi Zakona o zdravstveni dejavnosti (ZZDej)
7H1VD8JJ5AJ4H,2020-05-20,Po e-pošti,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,SNS,ANTICUS d.o.o.,Zakoniti zastopnik,Vpliv na sprejem predpisov in drugih splošnih aktov,Proti koronski paket 3(Pkp3)
C24AI93MUU56H,2020-03-30,Po e-pošti,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,SNS,"Custos Bono, d.o.o.",Zakoniti zastopnik,Vpliv na sprejem predpisov in drugih splošnih aktov,"Predlog zakona o interventnih ukrepih za zajezitev epidemije COVID-19 in omilitev njenih posledic za državljane in gospodarstvo (ZIUZEOP), nujni postopek, EPA 1095-VIII"
CXUTN9JMX8D7H,2020-03-31,Po e-pošti,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,SNS,DRUŠTVO AMNESTY INTERNATIONAL SLOVENIJE,Zaposlen v organizaciji,Vpliv na sprejem predpisov in drugih splošnih aktov,"Predlog zakona o interventnih ukrepih za zajezitev epidemije COVID-19 in omilitev njenih posledic za državljane in gospodarstvo (ZIUZEOP), nujni postopek, EPA 1095-VIII"
MR78K9SME5T4H,2020-02-20,Po e-pošti,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,SNS,Društvo upokojencev Gaj - Pragersko,Zakoniti zastopnik,Vpliv na odločanje v drugih zadevah,Rekonstrukcija železnice ter podvoza na Pragerskem
BTVH48JTR4D3H,2020-05-21,Po e-pošti,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,SNS,GoOpti d.o.o.,Zakoniti zastopnik,Vpliv na sprejem predpisov in drugih splošnih aktov,Vplivanje na ZIUOOPE
DZ8PB8JQL8B6H,2020-04-14,Po e-pošti,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,SNS,LETALSKA ZVEZA SLOVENIJE,Zakoniti zastopnik,Vpliv na sprejem predpisov in drugih splošnih aktov,Sprejem novega pravilnika na OKS
XZJ8A9BU6UR1H,2020-05-22,Po e-pošti,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,Funkcionar,SNS,Nacionalni svet invalidskih organizacij Slovenije,Zakoniti zastopnik,Vpliv na sprejem predpisov in drugih splošnih aktov,v zvezi s tretjim protikorona paketom
