id,function,party,institution,date,contact_type,org_name,lobbyist_type,purpose,purpose_details
1811,Funkcionar,SD,DRŽAVNI SVET REPUBLIKE SLOVENIJE,30.05.2019,OSEBNO,ZDRUŽENJE PROFESIONALCEV ZA PRENOS TEHNOLOGIJ SLOVENIJE,Lobist je zakoniti zastopnik interesne organizacije za katero lobira,Vpliv na sprejem predpisov in drugih splošnih aktov,Predstavitev pripomb in dopolnitev na predlog zakona o znanstvenoraziskovalni in inovacijski dejavnosti 
1811,Funkcionar,SD,DRŽAVNI SVET REPUBLIKE SLOVENIJE,30.05.2019,OSEBNO,ZDRUŽENJE PROFESIONALCEV ZA PRENOS TEHNOLOGIJ SLOVENIJE,Lobist je zakoniti zastopnik interesne organizacije za katero lobira,Vpliv na sprejem predpisov in drugih splošnih aktov,Predstavitev pripomb in dopolnitev na predlog zakona o znanstvenoraziskovalni in inovacijski dejavnosti 
1441,Funkcionar,,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,08.01.2019,PO E-POŠTI,"JT International Ljubljana, trgovsko podjetje, d.o.o.",Lobist je zakoniti zastopnik interesne organizacije za katero lobira,vpliv na odločanje v drugih zadevah,
1442,Funkcionar,SD,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,09.01.2019,OSEBNO,"GEOPORTAL, podjetje za projektiranje, svetovanje in inženiring d.o.o.","Lobist lobira za interesno organizacijo v kateri je zaposlen, Lobist je zakoniti zastopnik interesne organizacije za katero lobira",Vpliv na sprejem predpisov in drugih splošnih aktov,v zvezi s pripravo projektne dokumentacije glede drugega tira Koper-Divača
1452,Funkcionar,SMC,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,11.01.2019,OSEBNO,"JT International Ljubljana, trgovsko podjetje, d.o.o.",Lobist lobira za interesno organizacijo v kateri je zaposlen,Vpliv na sprejem predpisov in drugih splošnih aktov,Sprememba tobačne zakonodaje.
1459,Funkcionar,,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,14.01.2019,PO POŠTI,ZDRUŽENJE ZA VARSTVO POTROŠNIKOV KREDITOJEMALCEV Z VALUTNO KLAVZULO FRANK,Lobist lobira za interesno organizacijo v kateri je zaposlen,Vpliv na sprejem predpisov in drugih splošnih aktov,Reševanje stiske kreditojemalcev iz proračuna.
1464,Funkcionar,SAB,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,14.01.2019,OSEBNO,SHS AVIATION zračni promet d.o.o.,"Lobist lobira za interesno organizacijo v kateri je zaposlen, Lobist je zakoniti zastopnik interesne organizacije za katero lobira",vpliv na odločanje v drugih zadevah,Pridobitev državne pomoči - obratovalne podpore za obratovanje Aerodroma Maribor.
1465,Funkcionar,SAB,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,14.01.2019,OSEBNO,Izum,Lobist lobira za interesno organizacijo v kateri je zaposlen,Vpliv na sprejem predpisov in drugih splošnih aktov,
986,Funkcionar,,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,15.01.2019,OSEBNO,"UNIVERZA V LJUBLJANI, EKONOMSKA FAKULTETA",Lobist lobira za interesno organizacijo v kateri je zaposlen,vpliv na odločanje v drugih zadevah,"Vprašanje kako napredujejo zadeve pri urejanju državnega prostorskega načrta za aerodrom Maribor. _x000D_
Ni bilo v okviru javnega pooblastila."
986,Funkcionar,,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,15.01.2019,OSEBNO,"china state construction engineering corporation ltd, Beijing, China",Lobist lobira za interesno organizacijo v kateri je zaposlen,vpliv na odločanje v drugih zadevah,"Vprašanje kako napredujejo zadeve pri urejanju državnega prostorskega načrta za aerodrom Maribor. _x000D_
Ni bilo v okviru javnega pooblastila."
1414,Javni uslužbenec,,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,15.01.2019,OSEBNO,Univerzitetni klinični center Ljubljana ,Lobist je izvoljeni predstavnik interesne organizacije za katero lobira,vpliv na odločanje v drugih zadevah,Informacija o delovanju Slovenske medicinske akademije
1414,Javni uslužbenec,,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,15.01.2019,OSEBNO,Slovenska medicinska akademija,Lobist je izvoljeni predstavnik interesne organizacije za katero lobira,vpliv na odločanje v drugih zadevah,Informacija o delovanju Slovenske medicinske akademije
1414,Funkcionar,NSi,DRŽAVNI ZBOR REPUBLIKE SLOVENIJE,15.01.2019,OSEBNO,Univerzitetni klinični center Ljubljana ,Lobist je izvoljeni predstavnik interesne organizacije za katero lobira,vpliv na odločanje v drugih zadevah,Informacija o delovanju Slovenske medicinske akademije
