Organizacija,Omejitev_do,Subjekt,Velja_od,Velja_do,Limited
BANKA SLOVENIJE,Poslovni subjekt,"STATUS, SVETOVANJE IN INTEGRIRANE STORITVE NA PODROČJU STRATEŠKEGA KOMUNICIRANJA JERCA LEGAN CVIKL S.P.",2022-07-15,9999-12-30,0
BANKA SLOVENIJE,Poslovni subjekt,Inštitut za sodobni trajnostni razvoj,2022-07-15,9999-12-30,0
BANKA SLOVENIJE,Poslovni subjekt,"INTERRA podjetje za financiranje, trgovino in svetovanje d.o.o.",2010-03-05,2016-03-05,0
BANKA SLOVENIJE,Kmetijsko gospodarstvo,,2020-11-20,2023-02-28,0
BANKA SLOVENIJE,Poslovni subjekt,SKLAD OBRTNIKOV IN PODJETNIKOV,2015-10-07,2020-04-15,0
BANKA SLOVENIJE,Poslovni subjekt,"SIND podjetje za proizvodnjo, trgovino in storitve, Ljubljana, d.o.o.",2016-03-05,2020-08-01,0
BANKA SLOVENIJE,Poslovni subjekt,"FinKin, svetovanje in storitve, d.o.o.",2016-04-06,2022-11-15,0
BANKA SLOVENIJE,Poslovni subjekt,"FinKin, svetovanje in storitve, d.o.o.",2022-11-15,9999-12-30,0
BANKA SLOVENIJE,Poslovni subjekt,Intertrade ITA podjetje za zastopanje tujih firm d. o. o.,2012-01-26,2016-03-05,0
BANKA SLOVENIJE,Poslovni subjekt,Intertrade ITA podjetje za zastopanje tujih firm d. o. o.,2010-03-05,2012-01-26,0
BANKA SLOVENIJE,Poslovni subjekt,"BMF Poslovno svetovanje, d.o.o., Ljubljana",2012-01-26,2016-03-05,0
BANKA SLOVENIJE,Poslovni subjekt,"BMF Poslovno svetovanje, d.o.o., Ljubljana",2010-03-05,2012-01-26,0
BANKA SLOVENIJE,Poslovni subjekt,"TOMA, slikopleskarstvo in zaključna dela v gradbeništvu d.o.o.",2010-04-06,2016-04-05,0
BANKA SLOVENIJE,Poslovni subjekt,"TOMAŽ BAJEC S.P., PRODAJA ELEKTRIČNE ENERGIJE IN DRUGE ZDRAVSTVENE STORITVE S.P.",2021-06-29,9999-12-30,0
BANKA SLOVENIJE,Poslovni subjekt,"SIMM tekstil, svetovanje, trgovina d.o.o.",2021-06-29,9999-12-30,0
DELOVNO IN SOCIALNO SODIŠČE V LJUBLJANI,Poslovni subjekt,"MIZARSTVO MORAVČE izdelava in popravilo lesenih predmetov, d.o.o.",2011-11-16,9999-12-30,0
DELOVNO IN SOCIALNO SODIŠČE V LJUBLJANI,Poslovni subjekt,"MINTEX, trgovsko podjetje, d.o.o.",2012-11-29,9999-12-30,0
DELOVNO IN SOCIALNO SODIŠČE V LJUBLJANI,Poslovni subjekt,"PON, proizvodnja in trgovina, d.o.o. - v stečaju",2010-06-07,9999-12-30,0
DELOVNO IN SOCIALNO SODIŠČE V LJUBLJANI,Poslovni subjekt,KOTEZA gradbena dela in trgovina d.o.o.,2011-06-29,9999-12-30,0
DELOVNO IN SOCIALNO SODIŠČE V LJUBLJANI,Poslovni subjekt,"EVIDENCA B podjetje za poslovno-računovodske storitve, promet, trgovino in gostinstvo d.o.o.",2011-11-16,9999-12-30,0
DELOVNO IN SOCIALNO SODIŠČE V LJUBLJANI,Poslovni subjekt,"A POHIŠTVO, trgovina in proizvodnja pohištva d.o.o.",2011-11-16,9999-12-30,0
DELOVNO IN SOCIALNO SODIŠČE V LJUBLJANI,Poslovni subjekt,"ROCCO NEPREMIČNINE, promet z nepremičninami, inženiring, svetovanje d.o.o.",2019-10-16,9999-12-30,0
DELOVNO IN SOCIALNO SODIŠČE V LJUBLJANI,Poslovni subjekt,"ROCCO NEPREMIČNINE, promet z nepremičninami, inženiring, svetovanje d.o.o.",2015-01-30,2019-10-16,0
DELOVNO IN SOCIALNO SODIŠČE V LJUBLJANI,Poslovni subjekt,"HOČEVAR MOKOREL PRETNAR, odvetniška družba, o.p. d.o.o.",2012-11-29,9999-12-30,7
DELOVNO SODIŠČE V KOPRU,Poslovni subjekt,"T-PRING, projektna pisarna, inženiring, nadzor, gradnje, tehnično in poslovno svetovanje d.o.o.",2010-10-15,9999-12-30,0
DELOVNO SODIŠČE V KOPRU,Poslovni subjekt,"T-PRING, projektna pisarna, inženiring, nadzor, gradnje, tehnično in poslovno svetovanje d.o.o.",2010-10-13,2010-10-15,0
DELOVNO SODIŠČE V KOPRU,Poslovni subjekt,PREDAVATELJ VSŠ TOMAŽ UMEK S.P.,2007-01-12,9999-12-30,0
