date,org,recipient,donor,gift_type,delivery_method,description,value,value_method,delivery_occasion,reason,gift_owner
30. 4. 2013,OBČINA MIREN - KOSTANJEVICA,funkcionar,BISNODE SLOVENIJA,priložnostno,posredno,ipad,450.00 EUR,spletna poizvedba,nagrada/zahvala,nagradno žrebanje,lokalna skupnost
8. 5. 2013,RAČUNSKO SODIŠČE REPUBLIKE SLOVENIJE,državni organ/lokalna skupnost/nosilec javnih pooblastil,"VRI SLOVAŠKE, PREDSEDNIK JAN JASOVSKY",protokolarno,neposredno,"2x keramični krožnik (20 cm, 30 cm), 2x plaketa vri, kovinska",60.00 EUR,osebna nestrokovna ocena,obeležitev dneva,20. obletnica vri slovaške,"organizacija, v kateri funkcionar opravlja funkcijo"
8. 5. 2013,RAČUNSKO SODIŠČE REPUBLIKE SLOVENIJE,državni organ/lokalna skupnost/nosilec javnih pooblastil,"VRI LITVE, PREDSEDNICA GIEDRE ŠVEDIENE",protokolarno,neposredno,"knjiga o litvi, slika 20x25 cm o vri, namizna ra",50.00 EUR,osebna nestrokovna ocena,uradni obisk,uradni obisk v vri litve,"organizacija, v kateri funkcionar opravlja funkcijo"
8. 5. 2013,RAČUNSKO SODIŠČE REPUBLIKE SLOVENIJE,državni organ/lokalna skupnost/nosilec javnih pooblastil,"VRI RUSKE FEDERACIJE, DR. SERGEJ STEPAŠIN",protokolarno,neposredno,reliefna slika (20x30cm) ruski motiv,30.00 EUR,osebna nestrokovna ocena,uradni obisk,uradni obisk v vri ruske federacije,"organizacija, v kateri funkcionar opravlja funkcijo"
16. 9. 2013,RAČUNSKO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,VRI SLOVAŠKE,protokolarno,neposredno,keramični krožnik (velikost 26 cm) in knjiga o slovaški,40.50 EUR,spletna poizvedba,delovno srečanje,srečanje predsednikov vri v4+2,"organizacija, v kateri funkcionar opravlja funkcijo"
16. 9. 2013,RAČUNSKO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,VRI MADŽARSKE,protokolarno,neposredno,knjiga o madžarski,18.00 EUR,spletna poizvedba,delovno srečanje,srečanje predsednikov vri v4+2,"organizacija, v kateri funkcionar opravlja funkcijo"
3. 1. 2014,RAČUNSKO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,VRI LITVE,priložnostno,neposredno,grafika (emblem vri litve),20.00 EUR,osebna nestrokovna ocena,delovno srečanje,redno letno srečanje predsednikov in liaison officerjev vri držav članic eu,"organizacija, v kateri funkcionar opravlja funkcijo"
3. 1. 2014,RAČUNSKO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,PREDSEDNIK INTOSAI IN VRI KITAJSKE,priložnostno,neposredno,"kolekcija priložnostnih znamk, izdanih ob xxi. kongresu incosai",10.00 EUR,osebna nestrokovna ocena,udeležba na konferencah,priložnostno darilo za udeležence xxi. kongresa incosai,"organizacija, v kateri funkcionar opravlja funkcijo"
3. 1. 2014,RAČUNSKO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,PREDSEDNIK INTOSAI IN VRI KITAJSKE,priložnostno,neposredno,obesek iz preje,2.00 EUR,osebna nestrokovna ocena,udeležba na konferencah,priložnostno darilo za udeležence xxi. kongresa incosai,"organizacija, v kateri funkcionar opravlja funkcijo"
3. 1. 2014,RAČUNSKO SODIŠČE REPUBLIKE SLOVENIJE,funkcionar,VRI LITVE,priložnostno,neposredno,"srebrnik, izdan ob priliki predsedovanja litve eu",2.00 EUR,osebna nestrokovna ocena,delovno srečanje,srečanje predsednikov vri v4+2,"organizacija, v kateri funkcionar opravlja funkcijo"
